字,假名,送假名,旧字体,音训读,简体字,等级,类别
乞,こ,う,,训读,,2级,常用汉字
巾,きん,,,音读,,2级,常用汉字
匂,にお,う,,训读,,2级,常用汉字
爪,つめ,,,训读,,2级,常用汉字
爪,つま,,,训读,,2级,常用汉字
勾,こう,,,音读,,2级,常用汉字
牙,が,,,音读,,2级,常用汉字
牙,げ,,,音读,,2级,常用汉字
牙,きば,,,训读,,2级,常用汉字
𠮟,しつ,,,音读,,2级,常用汉字
𠮟,しか,る,,训读,,2级,常用汉字
叱,しつ,,,音读,,2级,
叱,しち,,,音读,,2级,
叱,しか,る,,训读,,2级,
氾,はん,,,音读,,2级,常用汉字
丼,どんぶり,,,训读,,2级,常用汉字
丼,どん,,,训读,,2级,常用汉字
尻,しり,,,训读,,2级,常用汉字
瓦,が,,,音读,,2级,常用汉字
瓦,かわら,,,训读,,2级,常用汉字
旦,たん,,,音读,,2级,常用汉字
旦,だん,,,音读,,2级,常用汉字
汎,はん,,,音读,,2级,常用汉字
臼,きゅう,,,音读,,2级,常用汉字
臼,うす,,,训读,,2级,常用汉字
伎,き,,,音读,,2级,常用汉字
汰,た,,,音读,,2级,常用汉字
肘,ひじ,,,训读,,2级,常用汉字
那,な,,,音读,,2级,常用汉字
串,く,し,,训读,,2级,常用汉字
沙,さ,,,音读,,2级,常用汉字
冶,や,,,音读,,2级,常用汉字
沃,よく,,,音读,,2级,常用汉字
芯,しん,,,音读,,2级,常用汉字
弄,ろう,,,音读,,2级,常用汉字
弄,もてあそ,ぶ,,训读,,2级,常用汉字
妖,よう,,,音读,,2级,常用汉字
妖,あや,しい,,训读,,2级,常用汉字
呂,ろ,,,音读,,2级,常用汉字
狙,そ,,,音读,,2级,常用汉字
狙,ねら,う,,训读,,2级,常用汉字
刹,さつ,,,音读,,2级,常用汉字
刹,せつ,,,音读,,2级,常用汉字
妬,と,,,音读,,2级,常用汉字
妬,ねた,む,,训读,,2级,常用汉字
宛,あ,てる,,训读,,2级,常用汉字
呪,じゅ,,,音读,,2级,常用汉字
呪,のろ,う,,训读,,2级,常用汉字
拉,ら,,,音读,,2级,常用汉字
玩,がん,,,音读,,2级,常用汉字
枕,まくら,,,训读,,2级,常用汉字
苛,か,,,音读,,2级,常用汉字
弥,や,,彌,训读,,2级,常用汉字
旺,おう,,,音读,,2级,常用汉字
虎,こ,,,音读,,2级,常用汉字
虎,とら,,,训读,,2级,常用汉字
股,こ,,,音读,,2级,常用汉字
股,また,,,训读,,2级,常用汉字
采,さい,,,音读,,2级,常用汉字
拭,しょく,,,音读,,2级,常用汉字
拭,ふ,く,,训读,,2级,常用汉字
拭,ぬぐ,う,,训读,,2级,常用汉字
柵,さく,,,音读,栅,2级,常用汉字
虹,にじ,,,训读,,2级,常用汉字
怨,えん,,,音读,,2级,常用汉字
怨,おん,,,音读,,2级,常用汉字
昧,まい,,,音读,,2级,常用汉字
勃,ぼつ,,,音读,,2级,常用汉字
拶,さつ,,,音读,,2级,常用汉字
柿,かき,,,训读,,2级,常用汉字
咽,いん,,,音读,,2级,常用汉字
訃,ふ,,,音读,讣,2级,常用汉字
眉,び,,,音读,,2级,常用汉字
眉,み,,,音读,,2级,常用汉字
眉,まゆ,,,训读,,2级,常用汉字
侶,りょ,,,音读,,2级,常用汉字
畏,い,,,音读,,2级,常用汉字
畏,おそ,れる,,训读,,2级,常用汉字
挫,ざ,,,音读,,2级,常用汉字
袖,しゅう,,,音读,,2级,常用汉字
袖,そで,,,训读,,2级,常用汉字
剝,はく,,,音读,,2级,常用汉字
剝,は,がす,,训读,,2级,常用汉字
剝,は,ぐ,,训读,,2级,常用汉字
剝,は,がれる,,训读,,2级,常用汉字
剝,は,げる,,训读,,2级,常用汉字
脇,わき,,,训读,,2级,常用汉字
脊,せき,,,音读,,2级,常用汉字
唄,うた,,,训读,呗,2级,常用汉字
凄,せい,,,音读,,2级,常用汉字
恣,し,,,音读,,2级,常用汉字
俺,おれ,,,训读,,2级,常用汉字
挨,あい,,,音读,,2级,常用汉字
捉,そく,,,音读,,2级,常用汉字
捉,とら,える,,训读,,2级,常用汉字
剥,はく,,,音读,,2级,
剥,ほく,,,音读,,2级,
剥,は,がす,,训读,,2级,
剥,は,がれる,,训读,,2级,
剥,は,ぐ,,训读,,2级,
剥,は,げる,,训读,,2级,
剥,と,る,,训读,,2级,
剥,む,く,,训读,,2级,
捗,ちょく,,,音读,,2级,常用汉字
桁,けた,,,训读,,2级,常用汉字
拳,けん,,,音读,,2级,常用汉字
拳,こぶし,,,训读,,2级,常用汉字
酎,ちゅう,,,音读,,2级,常用汉字
釜,かま,,,训读,,2级,常用汉字
冥,めい,,,音读,,2级,常用汉字
冥,みょう,,,音读,,2级,常用汉字
哺,ほ,,,音读,,2级,常用汉字
捻,ねん,,,音读,,2级,常用汉字
貪,どん,,,音读,贪,2级,常用汉字
貪,むさぼ,る,,训读,贪,2级,常用汉字
爽,そう,,,音读,,2级,常用汉字
爽,さわやか,,,训读,,2级,常用汉字
戚,せき,,,音读,,2级,常用汉字
崖,がい,,,音读,,2级,常用汉字
崖,がけ,,,训读,,2级,常用汉字
唾,だ,,,音读,,2级,常用汉字
唾,つば,,,训读,,2级,常用汉字
堆,たい,,,音读,,2级,常用汉字
曽,そう,,曾,音读,,2级,常用汉字
曽,ぞ,,曾,音读,,2级,常用汉字
痕,こん,,,音读,,2级,常用汉字
痕,あと,,,训读,,2级,常用汉字
萎,い,,,音读,,2级,常用汉字
萎,な,える,,训读,,2级,常用汉字
梗,こう,,,音读,,2级,常用汉字
頃,ころ,,,训读,顷,2级,常用汉字
舷,げん,,,音读,,2级,常用汉字
惧,ぐ,,,音读,,2级,常用汉字
淫,いん,,,音读,,2级,常用汉字
淫,みだら,,,训读,,2级,常用汉字
斬,ざん,,,音读,斩,2级,常用汉字
斬,き,る,,训读,斩,2级,常用汉字
亀,き,,龜,音读,龟,2级,常用汉字
亀,かめ,,龜,训读,龟,2级,常用汉字
羞,しゅう,,,音读,,2级,常用汉字
椅,い,,,音读,,2级,常用汉字
貼,ちょう,,,音读,贴,2级,常用汉字
貼,は,る,,训读,贴,2级,常用汉字
斑,はん,,,音读,,2级,常用汉字
嵐,あらし,,,训读,岚,2级,常用汉字
椎,つい,,,音读,,2级,常用汉字
痩,そう,,瘦,音读,,2级,常用汉字
痩,や,せる,瘦,训读,,2级,常用汉字
葛,かつ,,,音读,,2级,常用汉字
葛,くず,,,训读,,2级,常用汉字
喩,ゆ,,,音读,,2级,常用汉字
喉,こう,,,音读,,2级,常用汉字
喉,のど,,,训读,,2级,常用汉字
湧,ゆう,,,音读,,2级,常用汉字
湧,わ,く,,训读,,2级,常用汉字
須,す,,,音读,须,2级,常用汉字
楷,かい,,,音读,,2级,常用汉字
羨,せん,,,音读,,2级,常用汉字
羨,うらや,む,,训读,,2级,常用汉字
羨,うらや,ましい,,训读,,2级,常用汉字
蓋,がい,,,音读,盖,2级,常用汉字
蓋,ふた,,,训读,盖,2级,常用汉字
隙,げき,,,音读,,2级,常用汉字
隙,すき,,,训读,,2级,常用汉字
窟,くつ,,,音读,,2级,常用汉字
慄,りつ,,,音读,,2级,常用汉字
詣,けい,,,音读,诣,2级,常用汉字
詣,もう,でる,,训读,诣,2级,常用汉字
溺,でき,,,音读,,2级,常用汉字
溺,おぼ,れる,,训读,,2级,常用汉字
毀,き,,,音读,,2级,常用汉字
填,てん,,,音读,,2级,
填,ちん,,,音读,,2级,
填,うず,まる,,训读,,2级,
填,うず,める,,训读,,2级,
填,は,まる,,训读,,2级,
填,は,める,,训读,,2级,
填,ふさ,がる,,训读,,2级,
填,ふさ,ぐ,,训读,,2级,
嗅,きゅう,,,音读,,2级,常用汉字
嗅,か,ぐ,,训读,,2级,常用汉字
彙,い,,,音读,汇,2级,常用汉字
頓,とん,,,音读,顿,2级,常用汉字
腺,せん,,,音读,,2级,常用汉字
塞,さい,,,音读,,2级,常用汉字
塞,そく,,,音读,,2级,常用汉字
塞,ふさ,ぐ,,训读,,2级,常用汉字
塞,ふさ,がる,,训读,,2级,常用汉字
煎,せん,,,音读,,2级,常用汉字
煎,い,る,,训读,,2级,常用汉字
塡,てん,,,音读,,2级,常用汉字
睦,ぼく,,,音读,,2级,常用汉字
蜂,ほう,,,音读,,2级,常用汉字
蜂,はち,,,训读,,2级,常用汉字
僅,きん,,,音读,仅,2级,常用汉字
僅,わずか,,,训读,仅,2级,常用汉字
裾,すそ,,,训读,,2级,常用汉字
傲,ごう,,,音读,,2级,常用汉字
腎,じん,,,音读,肾,2级,常用汉字
嫉,しつ,,,音读,,2级,常用汉字
賂,ろ,,,音读,赂,2级,常用汉字
腫,しゅ,,,音读,肿,2级,常用汉字
腫,は,れる,,训读,肿,2级,常用汉字
腫,は,らす,,训读,肿,2级,常用汉字
詮,せん,,,音读,诠,2级,常用汉字
蜜,みつ,,,音读,,2级,常用汉字
瘍,よう,,,音读,疡,2级,常用汉字
箋,せん,,,音读,,2级,常用汉字
瑠,る,,,音读,,2级,常用汉字
遜,そん,,,音读,逊,2级,
遜,のが,れる,,训读,逊,2级,
遜,へりくだ,る,,训读,逊,2级,
遜,ゆず,る,,训读,逊,2级,
蔑,べつ,,,音读,,2级,常用汉字
蔑,さげす,む,,训读,,2级,常用汉字
綻,たん,,,音读,绽,2级,常用汉字
綻,ほころ,びる,,训读,绽,2级,常用汉字
貌,ぼう,,,音读,,2级,常用汉字
遡,そ,,,音读,,2级,
遡,さかのぼ,る,,训读,,2级,
遡,む,かう,,训读,,2级,
璃,り,,,音读,,2级,常用汉字
辣,らつ,,,音读,,2级,常用汉字
餅,へい,,,音读,饼,2级,
餅,もち,,,训读,饼,2级,
膝,ひざ,,,训读,,2级,常用汉字
潰,かい,,,音读,溃,2级,常用汉字
潰,つぶ,す,,训读,溃,2级,常用汉字
潰,つぶ,れる,,训读,溃,2级,常用汉字
頬,きょう,,,音读,颊,2级,
頬,ほお,,,训读,颊,2级,
箸,はし,,,训读,,2级,常用汉字
畿,き,,,音读,,2级,常用汉字
餌,じ,,,音读,饵,2级,
餌,え,,,训读,饵,2级,
餌,えさ,,,训读,饵,2级,
餌,く,う,,训读,饵,2级,
餌,たべもの,,,训读,饵,2级,
摯,し,,,音读,挚,2级,常用汉字
駒,こま,,,训读,驹,2级,常用汉字
踪,そう,,,音读,,2级,常用汉字
嘲,ちょう,,,音读,,2级,常用汉字
嘲,あざけ,る,,训读,,2级,常用汉字
稽,けい,,,音读,,2级,常用汉字
蔽,へい,,,音读,,2级,常用汉字
憬,けい,,,音读,,2级,常用汉字
誰,だれ,,,训读,谁,2级,常用汉字
罵,ば,,,音读,,2级,常用汉字
罵,ののし,る,,训读,,2级,常用汉字
憧,しょう,,,音读,,2级,常用汉字
憧,あこが,れる,,训读,,2级,常用汉字
麺,めん,,麵,音读,,2级,常用汉字
頰,ほお,,,训读,颊,2级,常用汉字
諧,かい,,,音读,谐,2级,常用汉字
骸,がい,,,音读,,2级,常用汉字
醒,せい,,,音读,,2级,常用汉字
膳,ぜん,,,音读,,2级,常用汉字
諦,てい,,,音读,谛,2级,常用汉字
諦,あきら,める,,训读,谛,2级,常用汉字
賭,と,,,音读,赌,2级,常用汉字
賭,か,ける,,训读,赌,2级,常用汉字
錮,こ,,,音读,锢,2级,常用汉字
錦,きん,,,音读,锦,2级,常用汉字
錦,にしき,,,训读,锦,2级,常用汉字
緻,ち,,,音读,致,2级,常用汉字
瞭,りょう,,,音读,了,2级,常用汉字
鍵,けん,,,音读,键,2级,常用汉字
鍵,かぎ,,,训读,键,2级,常用汉字
戴,たい,,,音读,,2级,常用汉字
曖,あい,,,音读,暧,2级,常用汉字
闇,やみ,,,训读,,2级,常用汉字
瞳,どう,,,音读,,2级,常用汉字
瞳,ひとみ,,,训读,,2级,常用汉字
謎,べい,,,音读,谜,2级,
謎,めい,,,音读,谜,2级,
謎,なぞ,,,训读,谜,2级,
鍋,なべ,,,训读,锅,2级,常用汉字
臆,おく,,,音读,,2级,常用汉字
藍,らん,,,音读,蓝,2级,常用汉字
藍,あい,,,训读,蓝,2级,常用汉字
顎,がく,,,音读,颚,2级,常用汉字
顎,あご,,,训读,颚,2级,常用汉字
璧,へき,,,音读,,2级,常用汉字
鎌,かま,,,训读,,2级,常用汉字
韓,かん,,,音读,韩,2级,常用汉字
藤,とう,,,音读,,2级,常用汉字
藤,ふじ,,,训读,,2级,常用汉字
麓,ろく,,,音读,,2级,常用汉字
麓,ふもと,,,训读,,2级,常用汉字
蹴,しゅう,,,音读,,2级,常用汉字
蹴,け,る,,训读,,2级,常用汉字
艶,えん,,艷,音读,艳,2级,常用汉字
艶,つや,,艷,训读,艳,2级,常用汉字
鶴,つる,,,训读,鹤,2级,常用汉字
籠,ろう,,,音读,笼,2级,常用汉字
籠,かご,,,训读,笼,2级,常用汉字
籠,こ,もる,,训读,笼,2级,常用汉字
鬱,うつ,,,音读,郁,2级,常用汉字
乙,おつ,,,音读,,3级,常用汉字
又,また,,,训读,,3级,常用汉字
了,りょう,,,音读,,3级,常用汉字
乏,ぼう,,,音读,,3级,常用汉字
乏,とぼ,しい,,训读,,3级,常用汉字
冗,じょう,,,音读,,3级,常用汉字
双,そう,,雙,音读,,3级,常用汉字
双,ふた,,雙,训读,,3级,常用汉字
斗,と,,,音读,,3级,常用汉字
斤,きん,,,音读,,3级,常用汉字
幻,げん,,,音读,,3级,常用汉字
幻,まぼろし,,,训读,,3级,常用汉字
孔,こう,,,音读,,3级,常用汉字
甲,こう,,,音读,,3级,常用汉字
甲,かん,,,音读,,3级,常用汉字
巧,こう,,,音读,,3级,常用汉字
巧,たくみ,,,训读,,3级,常用汉字
斥,せき,,,音读,,3级,常用汉字
伐,ばつ,,,音读,,3级,常用汉字
吏,り,,,音读,,3级,常用汉字
匠,しょう,,,音读,,3级,常用汉字
企,き,,,音读,,3级,常用汉字
企,くわだ,てる,,训读,,3级,常用汉字
如,じょ,,,音读,,3级,常用汉字
如,にょ,,,音读,,3级,常用汉字
伏,ふく,,,音读,,3级,常用汉字
伏,ふ,せる,,训读,,3级,常用汉字
伏,ふ,す,,训读,,3级,常用汉字
刑,けい,,,音读,,3级,常用汉字
吉,きち,,,音读,,3级,常用汉字
吉,きつ,,,音读,,3级,常用汉字
帆,はん,,,音读,,3级,常用汉字
帆,ほ,,,训读,,3级,常用汉字
克,こく,,,音读,,3级,常用汉字
寿,じゅ,,壽,音读,,3级,常用汉字
寿,ことぶき,,壽,训读,,3级,常用汉字
妨,ぼう,,,音读,,3级,常用汉字
妨,さまた,げる,,训读,,3级,常用汉字
没,ぼつ,,,音读,,3级,常用汉字
坑,こう,,,音读,,3级,常用汉字
尿,にょう,,,音读,,3级,常用汉字
忌,き,,,音读,,3级,常用汉字
忌,い,む,,训读,,3级,常用汉字
忌,い,まわしい,,训读,,3级,常用汉字
邦,ほう,,,音读,,3级,常用汉字
伴,はん,,,音读,,3级,常用汉字
伴,ばん,,,音读,,3级,常用汉字
伴,ともな,う,,训读,,3级,常用汉字
芳,ほう,,,音读,,3级,常用汉字
芳,かんば,しい,,训读,,3级,常用汉字
肝,かん,,,音读,,3级,常用汉字
肝,きも,,,训读,,3级,常用汉字
伸,しん,,,音读,,3级,常用汉字
伸,の,びる,,训读,,3级,常用汉字
伸,の,ばす,,训读,,3级,常用汉字
伸,の,べる,,训读,,3级,常用汉字
励,れい,,勵,音读,,3级,常用汉字
励,はげ,む,勵,训读,,3级,常用汉字
励,はげ,ます,勵,训读,,3级,常用汉字
択,たく,,擇,音读,择,3级,常用汉字
抑,よく,,,音读,,3级,常用汉字
抑,おさ,える,,训读,,3级,常用汉字
辛,しん,,,音读,,3级,常用汉字
辛,から,い,,训读,,3级,常用汉字
泌,ひつ,,,音读,,3级,常用汉字
泌,ひ,,,音读,,3级,常用汉字
炉,ろ,,爐,音读,,3级,常用汉字
炎,えん,,,音读,,3级,常用汉字
炎,ほのお,,,训读,,3级,常用汉字
炊,すい,,,音读,,3级,常用汉字
炊,た,く,,训读,,3级,常用汉字
佳,か,,,音读,,3级,常用汉字
苗,びょう,,,音读,,3级,常用汉字
苗,なえ,,,训读,,3级,常用汉字
苗,なわ,,,训读,,3级,常用汉字
卓,たく,,,音读,桌,3级,常用汉字
拘,こう,,,音读,,3级,常用汉字
欧,おう,,歐,音读,,3级,常用汉字
殴,おう,,毆,音读,,3级,常用汉字
殴,なぐ,る,毆,训读,,3级,常用汉字
怪,かい,,,音读,,3级,常用汉字
怪,あや,しい,,训读,,3级,常用汉字
怪,あや,しむ,,训读,,3级,常用汉字
岳,がく,,嶽,音读,,3级,常用汉字
岳,たけ,,嶽,训读,,3级,常用汉字
邪,じゃ,,,音读,,3级,常用汉字
侍,じ,,,音读,,3级,常用汉字
侍,さむらい,,,训读,,3级,常用汉字
祉,し,,祉,音读,,3级,常用汉字
房,ぼう,,,音读,,3级,常用汉字
房,ふさ,,,训读,,3级,常用汉字
抽,ちゅう,,,音读,,3级,常用汉字
奉,ほう,,,音读,,3级,常用汉字
奉,ぶ,,,音读,,3级,常用汉字
奉,たてまつ,る,,训读,,3级,常用汉字
免,めん,,免,音读,,3级,常用汉字
免,まぬか,れる,免,训读,,3级,常用汉字
阻,そ,,,音读,,3级,常用汉字
阻,はば,む,,训读,,3级,常用汉字
昇,しょう,,,音读,升,3级,常用汉字
昇,のぼ,る,,训读,升,3级,常用汉字
胎,たい,,,音读,,3级,常用汉字
軌,き,,,音读,轨,3级,常用汉字
牲,せい,,,音读,,3级,常用汉字
促,そく,,,音读,,3级,常用汉字
促,うなが,す,,训读,,3级,常用汉字
郊,こう,,,音读,,3级,常用汉字
帝,てい,,,音读,,3级,常用汉字
恨,こん,,,音读,,3级,常用汉字
恨,うら,む,,训读,,3级,常用汉字
恨,うら,めしい,,训读,,3级,常用汉字
訂,てい,,,音读,订,3级,常用汉字
削,さく,,,音读,,3级,常用汉字
削,けず,る,,训读,,3级,常用汉字
卑,ひ,,卑,音读,,3级,常用汉字
卑,いや,しい,卑,训读,,3级,常用汉字
卑,いや,しむ,卑,训读,,3级,常用汉字
卑,いや,しめる,卑,训读,,3级,常用汉字
胆,たん,,膽,音读,,3级,常用汉字
怠,たい,,,音读,,3级,常用汉字
怠,おこた,る,,训读,,3级,常用汉字
怠,なま,ける,,训读,,3级,常用汉字
施,し,,,音读,,3级,常用汉字
施,せ,,,音读,,3级,常用汉字
施,ほどこ,す,,训读,,3级,常用汉字
孤,こ,,,音读,,3级,常用汉字
弧,こ,,,音读,,3级,常用汉字
架,か,,,音读,,3级,常用汉字
架,か,ける,,训读,,3级,常用汉字
架,か,かる,,训读,,3级,常用汉字
厘,りん,,,音读,,3级,常用汉字
胞,ほう,,,音读,脓,3级,常用汉字
悔,かい,,悔,音读,,3级,常用汉字
悔,く,いる,悔,训读,,3级,常用汉字
悔,く,やむ,悔,训读,,3级,常用汉字
悔,くや,しい,悔,训读,,3级,常用汉字
虐,ぎゃく,,,音读,,3级,常用汉字
虐,しいた,げる,,训读,,3级,常用汉字
幽,ゆう,,,音读,,3级,常用汉字
冠,かん,,,音读,,3级,常用汉字
冠,かんむり,,,训读,,3级,常用汉字
某,ぼう,,,音读,,3级,常用汉字
卸,おろ,す,,训读,,3级,常用汉字
卸,おろし,,,训读,,3级,常用汉字
峡,きょう,,峽,音读,,3级,常用汉字
契,けい,,,音读,,3级,常用汉字
契,ちぎ,る,,训读,,3级,常用汉字
哀,あい,,,音读,,3级,常用汉字
哀,あわ,れ,,训读,,3级,常用汉字
哀,あわ,れむ,,训读,,3级,常用汉字
赴,ふ,,,音读,,3级,常用汉字
赴,おもむ,く,,训读,,3级,常用汉字
封,ふう,,,音读,,3级,常用汉字
封,ほう,,,音读,,3级,常用汉字
隻,せき,,,音读,只,3级,常用汉字
凍,とう,,,音读,冻,3级,常用汉字
凍,こお,る,,训读,冻,3级,常用汉字
凍,こご,える,,训读,冻,3级,常用汉字
宴,えん,,,音读,,3级,常用汉字
殊,しゅ,,,音读,,3级,常用汉字
殊,こと,,,训读,,3级,常用汉字
疾,しつ,,,音读,,3级,常用汉字
衰,すい,,,音读,,3级,常用汉字
衰,おとろ,える,,训读,,3级,常用汉字
桑,そう,,,音读,,3级,常用汉字
桑,くわ,,,训读,,3级,常用汉字
徐,じょ,,,音读,,3级,常用汉字
哲,てつ,,,音读,,3级,常用汉字
辱,じょく,,,音读,,3级,常用汉字
辱,はずかし,める,,训读,,3级,常用汉字
畜,ちく,,,音读,,3级,常用汉字
浪,ろう,,,音读,,3级,常用汉字
粋,すい,,粹,音读,粹,3级,常用汉字
粋,いき,,粹,训读,粹,3级,常用汉字
華,か,,,音读,华,3级,常用汉字
華,け,,,音读,华,3级,常用汉字
華,はな,,,训读,华,3级,常用汉字
悦,えつ,,,音读,,3级,常用汉字
託,たく,,,音读,托,3级,常用汉字
匿,とく,,,音读,,3级,常用汉字
埋,まい,,,音读,,3级,常用汉字
埋,う,める,,训读,,3级,常用汉字
埋,う,まる,,训读,,3级,常用汉字
埋,う,もれる,,训读,,3级,常用汉字
紛,ふん,,,音读,纷,3级,常用汉字
紛,まぎ,れる,,训读,纷,3级,常用汉字
紛,まぎ,らす,,训读,纷,3级,常用汉字
紛,まぎ,らわす,,训读,纷,3级,常用汉字
紛,まぎ,らわしい,,训读,纷,3级,常用汉字
脅,きょう,,,音读,胁,3级,常用汉字
脅,おびや,かす,,训读,胁,3级,常用汉字
脅,おど,す,,训读,胁,3级,常用汉字
脅,おど,かす,,训读,胁,3级,常用汉字
倹,けん,,儉,音读,俭,3级,常用汉字
倣,ほう,,,音读,,3级,常用汉字
倣,なら,う,,训读,,3级,常用汉字
悟,ご,,,音读,,3级,常用汉字
悟,さと,る,,训读,,3级,常用汉字
姫,ひめ,,,训读,姬,3级,常用汉字
畔,はん,,,音读,,3级,常用汉字
既,き,,既,音读,,3级,常用汉字
既,すで,に,既,训读,,3级,常用汉字
娯,ご,,,音读,娱,3级,常用汉字
紺,こん,,,音读,绀,3级,常用汉字
袋,たい,,,音读,,3级,常用汉字
袋,ふくろ,,,训读,,3级,常用汉字
崩,ほう,,,音读,,3级,常用汉字
崩,くず,れる,,训读,,3级,常用汉字
崩,くず,す,,训读,,3级,常用汉字
酔,すい,,醉,音读,醉,3级,常用汉字
酔,よ,う,醉,训读,醉,3级,常用汉字
啓,けい,,,音读,启,3级,常用汉字
偶,ぐう,,,音读,,3级,常用汉字
掃,そう,,,音读,扫,3级,常用汉字
掃,は,く,,训读,扫,3级,常用汉字
逮,たい,,,音读,,3级,常用汉字
陶,とう,,,音读,,3级,常用汉字
惜,せき,,,音读,,3级,常用汉字
惜,お,しい,,训读,,3级,常用汉字
惜,お,しむ,,训读,,3级,常用汉字
粘,ねん,,,音读,,3级,常用汉字
粘,ねば,る,,训读,,3级,常用汉字
符,ふ,,,音读,,3级,常用汉字
措,そ,,,音读,,3级,常用汉字
粗,そ,,,音读,,3级,常用汉字
粗,あら,い,,训读,,3级,常用汉字
控,こう,,,音读,,3级,常用汉字
控,ひか,える,,训读,,3级,常用汉字
掲,けい,,揭,音读,揭,3级,常用汉字
掲,かか,げる,揭,训读,揭,3级,常用汉字
窒,ちつ,,,音读,,3级,常用汉字
貫,かん,,,音读,贯,3级,常用汉字
貫,つらぬ,く,,训读,贯,3级,常用汉字
虚,きょ,,虛,音读,,3级,常用汉字
虚,こ,,虛,音读,,3级,常用汉字
陪,ばい,,,音读,,3级,常用汉字
排,はい,,,音读,,3级,常用汉字
婆,ば,,,音读,,3级,常用汉字
菊,きく,,,音读,,3级,常用汉字
赦,しゃ,,,音读,,3级,常用汉字
豚,とん,,,音读,,3级,常用汉字
豚,ぶた,,,训读,,3级,常用汉字
勘,かん,,,音读,,3级,常用汉字
陵,りょう,,,音读,,3级,常用汉字
陵,みささぎ,,,训读,,3级,常用汉字
猟,りょう,,獵,音读,猎,3级,常用汉字
隆,りゅう,,隆,音读,,3级,常用汉字
彫,ちょう,,,音读,雕,3级,常用汉字
彫,ほ,る,,训读,雕,3级,常用汉字
郭,かく,,,音读,,3级,常用汉字
陳,ちん,,,音读,陈,3级,常用汉字
掛,か,ける,,训读,挂,3级,常用汉字
掛,か,かる,,训读,挂,3级,常用汉字
掛,かかり,,,训读,挂,3级,常用汉字
裂,れつ,,,音读,,3级,常用汉字
裂,さ,く,,训读,,3级,常用汉字
裂,さ,ける,,训读,,3级,常用汉字
募,ぼ,,,音读,,3级,常用汉字
募,つの,る,,训读,,3级,常用汉字
痘,とう,,,音读,,3级,常用汉字
葬,そう,,,音读,,3级,常用汉字
葬,ほうむ,る,,训读,,3级,常用汉字
蛮,ばん,,蠻,音读,,3级,常用汉字
揚,よう,,,音读,扬,3级,常用汉字
揚,あ,げる,,训读,扬,3级,常用汉字
揚,あ,がる,,训读,扬,3级,常用汉字
廊,ろう,,廊,音读,,3级,常用汉字
超,ちょう,,,音读,,3级,常用汉字
超,こ,える,,训读,,3级,常用汉字
超,こ,す,,训读,,3级,常用汉字
揺,よう,,搖,音读,摇,3级,常用汉字
揺,ゆ,れる,搖,训读,摇,3级,常用汉字
揺,ゆる,,搖,训读,摇,3级,常用汉字
揺,ゆ,らぐ,搖,训读,摇,3级,常用汉字
揺,ゆ,るぐ,搖,训读,摇,3级,常用汉字
揺,ゆ,する,搖,训读,摇,3级,常用汉字
揺,ゆ,さぶる,搖,训读,摇,3级,常用汉字
揺,ゆ,すぶる,搖,训读,摇,3级,常用汉字
遂,すい,,,音读,,3级,常用汉字
遂,と,げる,,训读,,3级,常用汉字
喫,きつ,,,音读,吃,3级,常用汉字
換,かん,,,音读,换,3级,常用汉字
換,か,える,,训读,换,3级,常用汉字
換,か,わる,,训读,换,3级,常用汉字
硬,こう,,,音读,,3级,常用汉字
硬,かた,い,,训读,,3级,常用汉字
欺,ぎ,,,音读,,3级,常用汉字
欺,あざむ,く,,训读,,3级,常用汉字
棋,き,,,音读,,3级,常用汉字
軸,じく,,,音读,轴,3级,常用汉字
晶,しょう,,,音读,,3级,常用汉字
湿,しつ,,濕,音读,,3级,常用汉字
湿,しめ,る,濕,训读,,3级,常用汉字
湿,しめ,す,濕,训读,,3级,常用汉字
掌,しょう,,,音读,,3级,常用汉字
敢,かん,,,音读,,3级,常用汉字
喚,かん,,,音读,唤,3级,常用汉字
随,ずい,,隨,音读,,3级,常用汉字
遇,ぐう,,,音读,,3级,常用汉字
雇,こ,,,音读,,3级,常用汉字
雇,やと,う,,训读,,3级,常用汉字
詠,えい,,,音读,咏,3级,常用汉字
詠,よ,む,,训读,咏,3级,常用汉字
慌,こう,,,音读,,3级,常用汉字
慌,あわ,てる,,训读,,3级,常用汉字
慌,あわ,ただしい,,训读,,3级,常用汉字
絞,こう,,,音读,绞,3级,常用汉字
絞,しぼ,る,,训读,绞,3级,常用汉字
絞,し,める,,训读,绞,3级,常用汉字
絞,し,まる,,训读,绞,3级,常用汉字
焦,しょう,,,音读,,3级,常用汉字
焦,こ,げる,,训读,,3级,常用汉字
焦,こ,がす,,训读,,3级,常用汉字
焦,こ,がれる,,训读,,3级,常用汉字
焦,あせ,る,,训读,,3级,常用汉字
婿,せい,,,音读,,3级,常用汉字
婿,むこ,,,训读,,3级,常用汉字
湾,わん,,灣,音读,,3级,常用汉字
携,けい,,,音读,,3级,常用汉字
携,たずさ,える,,训读,,3级,常用汉字
携,たずさ,わる,,训读,,3级,常用汉字
楼,ろう,,樓,音读,,3级,常用汉字
滅,めつ,,,音读,灭,3级,常用汉字
滅,ほろ,びる,,训读,灭,3级,常用汉字
滅,ほろ,ぼす,,训读,灭,3级,常用汉字
飽,ほう,,,音读,饱,3级,常用汉字
飽,あ,きる,,训读,饱,3级,常用汉字
飽,あかす,,,训读,饱,3级,常用汉字
