字,假名,送假名,旧字体,音训读,简体字,等级,类别
姥,うば,,,训读,,准1级,人名用汉字
姥,ばば,,,训读,,准1级,人名用汉字
剃,てい,,,音读,,准1级,
剃,そ,る,,训读,,准1级,
荏,じん,,,音读,,准1级,
荏,にん,,,音读,,准1级,
荏,え,,,训读,,准1级,
荏,やわ,らか,,训读,,准1级,
穿,せん,,,音读,,准1级,人名用汉字
穿,うが,つ,,训读,,准1级,人名用汉字
穿,つらぬ,く,,训读,,准1级,人名用汉字
穿,は,く,,训读,,准1级,人名用汉字
穿,ほじく,る,,训读,,准1级,人名用汉字
穿,ほじ,る,,训读,,准1级,人名用汉字
姦,かん,,,音读,,准1级,
姦,かしま,しい,,训读,,准1级,
姦,みだら,,,训读,,准1级,
姦,よこしま,,,训读,,准1级,
祇,ぎ,,,音读,,准1级,人名用汉字
祇,し,,,音读,,准1级,人名用汉字
祇,くにつかみ,,,训读,,准1级,人名用汉字
咳,かい,,,音读,,准1级,
咳,がい,,,音读,,准1级,
咳,しわぶき,,,训读,,准1级,
咳,しわぶ,く,,训读,,准1级,
咳,せき,,,训读,,准1级,
咳,せ,く,,训读,,准1级,
廼,だい,,,音读,,准1级,
廼,ない,,,音读,,准1级,
廼,すなわ,ち,,训读,,准1级,
廼,なんじ,,,训读,,准1级,
廼,の,,,训读,,准1级,
恢,かい,,,音读,,准1级,人名用汉字
恢,おお,きい,,训读,,准1级,人名用汉字
恢,ひろ,い,,训读,,准1级,人名用汉字
茜,せん,,,音读,,准1级,人名用汉字
茜,あかね,,,训读,,准1级,人名用汉字
栂,ばい,,,音读,,准1级,
栂,つが,,,训读,,准1级,
栂,とが,,,训读,,准1级,
柑,かん,,,音读,,准1级,人名用汉字
柑,こうじ,,,训读,,准1级,人名用汉字
柑,みかん,,,训读,,准1级,人名用汉字
祢,でい,,,音读,,准1级,人名用汉字
祢,ね,,,音读,,准1级,人名用汉字
祢,かたしろ,,,训读,,准1级,人名用汉字
祢,みたまや,,,训读,,准1级,人名用汉字
粂,くめ,,,训读,,准1级,
砥,し,,,音读,,准1级,人名用汉字
砥,と,,,训读,,准1级,人名用汉字
砥,といし,,,训读,,准1级,人名用汉字
砥,と,ぐ,,训读,,准1级,人名用汉字
砥,みが,く,,训读,,准1级,人名用汉字
砺,れい,,,音读,,准1级,
砺,あらと,,,训读,,准1级,
砺,と,ぐ,,训读,,准1级,
砺,みが,く,,训读,,准1级,
莫,ばく,,,音读,,准1级,人名用汉字
莫,ぼ,,,音读,,准1级,人名用汉字
莫,まく,,,音读,,准1级,人名用汉字
莫,も,,,音读,,准1级,人名用汉字
莫,く,れ,,训读,,准1级,人名用汉字
莫,さび,しい,,训读,,准1级,人名用汉字
莫,な,い,,训读,,准1级,人名用汉字
莫,なかれ,,,训读,,准1级,人名用汉字
啄,たく,,,音读,,准1级,人名用汉字
啄,とく,,,音读,,准1级,人名用汉字
啄,ついば,む,,训读,,准1级,人名用汉字
耽,たん,,,音读,,准1级,人名用汉字
耽,ふけ,る,,训读,,准1级,人名用汉字
狽,ばい,,,音读,狈,准1级,
凌,りょう,,,音读,,准1级,人名用汉字
凌,しの,ぐ,,训读,,准1级,人名用汉字
柴,さい,,,音读,,准1级,人名用汉字
柴,しば,,,训读,,准1级,人名用汉字
柴,ふさ,ぐ,,训读,,准1级,人名用汉字
狼,ろう,,,音读,,准1级,人名用汉字
狼,おおかみ,,,训读,,准1级,人名用汉字
狼,みだ,れる,,训读,,准1级,人名用汉字
晒,さい,,,音读,,准1级,人名用汉字
晒,さら,す,,训读,,准1级,人名用汉字
栖,さい,,,音读,,准1级,人名用汉字
栖,せい,,,音读,,准1级,人名用汉字
栖,す,,,训读,,准1级,人名用汉字
栖,すみか,,,训读,,准1级,人名用汉字
栖,す,む,,训读,,准1级,人名用汉字
朔,さく,,,音读,,准1级,人名用汉字
朔,きた,,,训读,,准1级,人名用汉字
朔,ついたち,,,训读,,准1级,人名用汉字
盌,わん,,,音读,,准1级,
莵,と,,,音读,,准1级,
莵,うさぎ,,,训读,,准1级,
窄,さく,,,音读,,准1级,人名用汉字
窄,すぼ,む,,训读,,准1级,人名用汉字
窄,せば,まる,,训读,,准1级,人名用汉字
窄,せま,い,,训读,,准1级,人名用汉字
窄,つぼ,む,,训读,,准1级,人名用汉字
閃,せん,,,音读,闪,准1级,人名用汉字
閃,ひらめ,く,,训读,闪,准1级,人名用汉字
砧,がん,,,音读,,准1级,人名用汉字
砧,ちん,,,音读,,准1级,人名用汉字
砧,きぬた,,,训读,,准1级,人名用汉字
俱,く,,,音读,,准1级,人名用汉字
俱,ぐ,,,音读,,准1级,人名用汉字
俱,とも,に,,训读,,准1级,人名用汉字
釘,ちょう,,,音读,钉,准1级,人名用汉字
釘,てい,,,音读,钉,准1级,人名用汉字
釘,くぎ,,,训读,钉,准1级,人名用汉字
峩,が,,,音读,,准1级,
峩,けわ,しい,,训读,,准1级,
套,とう,,,音读,,准1级,人名用汉字
套,おお,い,,训读,,准1级,人名用汉字
套,かさ,ねる,,训读,,准1级,人名用汉字
挺,ちょう,,,音读,,准1级,人名用汉字
挺,てい,,,音读,,准1级,人名用汉字
挺,ぬき,んでる,,训读,,准1级,人名用汉字
挺,ぬ,く,,训读,,准1级,人名用汉字
桐,とう,,,音读,,准1级,人名用汉字
桐,どう,,,音读,,准1级,人名用汉字
桐,きり,,,训读,,准1级,人名用汉字
凋,ちょう,,,音读,,准1级,
凋,しぼ,む,,训读,,准1级,
涛,とう,,,音读,,准1级,
涛,なみ,,,训读,,准1级,
荻,てき,,,音读,,准1级,人名用汉字
荻,おぎ,,,训读,,准1级,人名用汉字
畠,はた,,,训读,,准1级,人名用汉字
畠,はたけ,,,训读,,准1级,人名用汉字
蚤,そう,,,音读,,准1级,
蚤,つめ,,,训读,,准1级,
蚤,のみ,,,训读,,准1级,
蚤,はや,い,,训读,,准1级,
哨,しょう,,,音读,,准1级,人名用汉字
哨,みはり,,,训读,,准1级,人名用汉字
屑,せつ,,,音读,,准1级,人名用汉字
屑,いさぎよ,い,,训读,,准1级,人名用汉字
屑,くず,,,训读,,准1级,人名用汉字
豹,ひょう,,,音读,,准1级,人名用汉字
秤,しょう,,,音读,,准1级,人名用汉字
秤,びん,,,音读,,准1级,人名用汉字
秤,はかり,,,训读,,准1级,人名用汉字
娩,ばん,,,音读,,准1级,人名用汉字
娩,べん,,,音读,,准1级,人名用汉字
娩,う,む,,训读,,准1级,人名用汉字
圃,ほ,,,音读,,准1级,人名用汉字
圃,はたけ,,,训读,,准1级,人名用汉字
晋,しん,,,音读,,准1级,人名用汉字
晋,すす,む,,训读,,准1级,人名用汉字
疹,しん,,,音读,,准1级,
疹,ちん,,,音读,,准1级,
疹,はしか,,,训读,,准1级,
狸,り,,,音读,,准1级,
狸,たぬき,,,训读,,准1级,
秦,しん,,,音读,,准1级,人名用汉字
秦,はた,,,训读,,准1级,人名用汉字
桓,かん,,,音读,,准1级,
峯,ほう,,,音读,,准1级,人名用汉字
峯,ふ,,,音读,,准1级,人名用汉字
峯,みね,,,训读,,准1级,人名用汉字
翆,すい,,,音读,,准1级,
翆,かわせみ,,,训读,,准1级,
翆,みどり,,,训读,,准1级,
脆,せい,,,音读,,准1级,
脆,ぜい,,,音读,,准1级,
脆,かる,い,,训读,,准1级,
脆,もろ,い,,训读,,准1级,
脆,やわ,らかい,,训读,,准1级,
脆,よわ,い,,训读,,准1级,
粍,ミリメートル,,,训读,,准1级,
匪,ひ,,,音读,,准1级,
匪,あら,ず,,训读,,准1级,
匪,わるもの,,,训读,,准1级,
迺,だい,,,音读,,准1级,
迺,ない,,,音读,,准1级,
迺,すなわ,ち,,训读,,准1级,
迺,なんじ,,,训读,,准1级,
迺,の,,,训读,,准1级,
浬,り,,,音读,,准1级,人名用汉字
浬,かいり,,,训读,,准1级,人名用汉字
浬,ノット,,,训读,,准1级,人名用汉字
栗,り,,,音读,,准1级,人名用汉字
栗,りつ,,,音读,,准1级,人名用汉字
栗,おのの,く,,训读,,准1级,人名用汉字
栗,きび,しい,,训读,,准1级,人名用汉字
栗,くり,,,训读,,准1级,人名用汉字
悌,だい,,,音读,,准1级,人名用汉字
悌,てい,,,音读,,准1级,人名用汉字
涜,とう,,,音读,,准1级,
涜,とく,,,音读,,准1级,
涜,あなど,る,,训读,,准1级,
涜,けが,す,,训读,,准1级,
涜,みぞ,,,训读,,准1级,
哩,り,,,音读,,准1级,人名用汉字
哩,マイル,,,训读,,准1级,人名用汉字
莱,らい,,,音读,,准1级,
莱,あかざ,,,训读,,准1级,
莱,あれち,,,训读,,准1级,
捌,はち,,,音读,,准1级,
捌,はつ,,,音读,,准1级,
捌,べつ,,,音读,,准1级,
捌,さば,く,,训读,,准1级,
捌,さば,ける,,训读,,准1级,
捌,は,かす,,训读,,准1级,
捌,は,ける,,训读,,准1级,
紐,じゅう,,,音读,纽,准1级,人名用汉字
紐,ちゅう,,,音读,纽,准1级,人名用汉字
紐,ひも,,,训读,纽,准1级,人名用汉字
涌,ゆう,,,音读,,准1级,
涌,よう,,,音读,,准1级,
涌,わ,く,,训读,,准1级,
挽,ばん,,,音读,,准1级,人名用汉字
挽,ひ,く,,训读,,准1级,人名用汉字
峻,しゅん,,,音读,,准1级,人名用汉字
峻,おお,きい,,训读,,准1级,人名用汉字
峻,きび,しい,,训读,,准1级,人名用汉字
峻,けわ,しい,,训读,,准1级,人名用汉字
峻,たか,い,,训读,,准1级,人名用汉字
隼,しゅん,,,音读,,准1级,人名用汉字
隼,じゅん,,,音读,,准1级,人名用汉字
隼,はやぶさ,,,训读,,准1级,人名用汉字
恕,しょ,,,音读,,准1级,人名用汉字
恕,じょ,,,音读,,准1级,人名用汉字
恕,おもいや,る,,训读,,准1级,人名用汉字
恕,ゆる,す,,训读,,准1级,人名用汉字
訊,しん,,,音读,讯,准1级,人名用汉字
訊,じん,,,音读,讯,准1级,人名用汉字
訊,き,く,,训读,讯,准1级,人名用汉字
訊,たず,ねる,,训读,讯,准1级,人名用汉字
訊,たよ,り,,训读,讯,准1级,人名用汉字
訊,と,う,,训读,讯,准1级,人名用汉字
栴,せん,,,音读,,准1级,
紘,こう,,,音读,纮,准1级,人名用汉字
紘,おおづな,,,训读,纮,准1级,人名用汉字
紘,ひろ,い,,训读,纮,准1级,人名用汉字
峨,が,,,音读,,准1级,人名用汉字
峨,けわ,しい,,训读,,准1级,人名用汉字
砿,こう,,,音读,,准1级,
砿,あらがね,,,训读,,准1级,
浩,こう,,,音读,,准1级,人名用汉字
浩,おお,い,,训读,,准1级,人名用汉字
浩,おお,きい,,训读,,准1级,人名用汉字
浩,おご,る,,训读,,准1级,人名用汉字
浩,ひろ,い,,训读,,准1级,人名用汉字
晃,こう,,,音读,,准1级,人名用汉字
晃,あき,らか,,训读,,准1级,人名用汉字
晃,ひか,る,,训读,,准1级,人名用汉字
唖,あ,,,音读,哑,准1级,
唖,あく,,,音读,哑,准1级,
唖,ああ,,,训读,哑,准1级,
唖,おし,,,训读,哑,准1级,
唖,わら,う,,训读,哑,准1级,
倖,こう,,,音读,,准1级,人名用汉字
倖,さいわ,い,,训读,,准1级,人名用汉字
倖,へつら,う,,训读,,准1级,人名用汉字
莞,かん,,,音读,,准1级,人名用汉字
莞,い,,,训读,,准1级,人名用汉字
莞,ふとい,,,训读,,准1级,人名用汉字
莞,むしろ,,,训读,,准1级,人名用汉字
笈,きゅう,,,音读,,准1级,人名用汉字
