字,假名,送假名,旧字体,音训读,简体字
葬,ほうむ,る,,训读,
装,そう,,裝,音读,
装,しょう,,裝,音读,
装,よそお,う,裝,训读,
僧,そう,,僧,音读,
想,そう,,,音读,
想,そ,,,音读,
層,そう,,層,音读,层
総,そう,,總,音读,总
遭,そう,,,音读,
遭,あ,う,,训读,
槽,そう,,,音读,
踪,そう,,,音读,
操,そう,,,音读,
操,みさお,,,训读,
操,あやつ,る,,训读,
燥,そう,,,音读,
霜,そう,,,音读,
霜,しも,,,训读,
騒,そう,,騷,音读,骚
騒,さわ,ぐ,騷,训读,骚
藻,そう,,,音读,
藻,も,,,训读,
造,ぞう,,,音读,
造,つく,る,,训读,
像,ぞう,,,音读,
増,ぞう,,增,音读,增
増,ま,す,增,训读,增
増,ふ,える,增,训读,增
増,ふ,やす,增,训读,增
憎,ぞう,,憎,音读,
憎,にく,む,憎,训读,
憎,にく,い,憎,训读,
憎,にく,らしい,憎,训读,
憎,にく,しみ,憎,训读,
蔵,ぞう,,藏,音读,藏
蔵,くら,,藏,训读,藏
贈,ぞう,,贈,音读,赠
贈,そう,,贈,音读,赠
贈,おく,る,贈,训读,赠
臓,ぞう,,臟,音读,脏
即,そく,,卽,音读,
束,そく,,,音读,
束,たば,,,训读,
足,そく,,,音读,
足,あし,,,训读,
足,た,りる,,训读,
足,たる,,,训读,
足,た,す,,训读,
促,そく,,,音读,
促,うなが,す,,训读,
則,そく,,,音读,则
息,そく,,,音读,
息,いき,,,训读,
捉,そく,,,音读,
捉,とら,える,,训读,
速,そく,,,音读,
速,はや,い,,训读,
速,はや,める,,训读,
速,はや,まる,,训读,
速,すみやか,,,训读,
側,そく,,,音读,侧
側,がわ,,,训读,侧
測,そく,,,音读,测
測,はか,る,,训读,测
俗,ぞく,,,音读,
族,ぞく,,,音读,
属,ぞく,,屬,音读,
賊,ぞく,,,音读,贼
続,ぞく,,續,音读,续
続,つづ,く,續,训读,续
続,つづ,ける,續,训读,续
卒,そつ,,,音读,
率,そつ,,,音读,
率,りつ,,,音读,
率,ひき,いる,,训读,
存,そん,,,音读,
存,ぞん,,,音读,
村,そん,,,音读,
村,むら,,,训读,
孫,そん,,,音读,孙
孫,まご,,,训读,孙
尊,そん,,,音读,
尊,たっと,い,,训读,
尊,とうと,い,,训读,
尊,たっと,ぶ,,训读,
尊,とうと,ぶ,,训读,
損,そん,,,音读,损
損,そこ,なう,,训读,损
損,そこ,ねる,,训读,损
遜［遜］,そん,,,音读,
他,た,,,音读,
他,ほか,,,训读,
多,た,,,音读,
多,おお,い,,训读,
汰,た,,,音读,
打,だ,,,音读,
打,う,つ,,训读,
妥,だ,,,音读,
唾,だ,,,音读,
唾,つば,,,训读,
堕,だ,,墮,音读,
惰,だ,,,音读,
駄,だ,,,音读,驮
太,たい,,,音读,
太,た,,,音读,
太,ふと,い,,训读,
太,ふと,る,,训读,
対,たい,,對,音读,对
対,つい,,對,音读,对
体,たい,,體,音读,
体,てい,,體,音读,
体,からだ,,體,训读,
耐,たい,,,音读,
耐,た,える,,训读,
待,たい,,,音读,
待,ま,つ,,训读,
怠,たい,,,音读,
怠,おこた,る,,训读,
怠,なま,ける,,训读,
胎,たい,,,音读,
退,たい,,,音读,
退,しりぞ,く,,训读,
退,しりぞ,ける,,训读,
帯,たい,,帶,音读,带
帯,お,びる,帶,训读,带
帯,おび,,帶,训读,带
泰,たい,,,音读,
堆,たい,,,音读,
袋,たい,,,音读,
袋,ふくろ,,,训读,
逮,たい,,,音读,
替,たい,,,音读,
替,か,える,,训读,
替,か,わる,,训读,
貸,たい,,,音读,贷
貸,か,す,,训读,贷
隊,たい,,,音读,队
滞,たい,,滯,音读,
滞,とどこお,る,滯,训读,
態,たい,,,音读,态
戴,たい,,,音读,
大,だい,,,音读,
大,たい,,,音读,
大,おお,,,训读,
大,おお,きい,,训读,
大,おお,いに,,训读,
代,だい,,,音读,
代,たい,,,音读,
代,か,わる,,训读,
代,か,える,,训读,
代,よ,,,训读,
代,しろ,,,训读,
台,だい,,臺,音读,
台,たい,,臺,音读,
第,だい,,,音读,
題,だい,,,音读,题
滝,たき,,瀧,训读,
宅,たく,,,音读,
択,たく,,擇,音读,择
沢,たく,,澤,音读,泽
沢,さわ,,澤,训读,泽
卓,たく,,,音读,桌
拓,たく,,,音读,
託,たく,,,音读,托
濯,たく,,,音读,
諾,だく,,,音读,诺
濁,だく,,,音读,浊
濁,にご,る,,训读,浊
濁,にご,す,,训读,浊
但,ただ,し,,训读,
達,たつ,,,音读,达
脱,だつ,,,音读,
脱,ぬ,ぐ,,训读,
脱,ぬ,げる,,训读,
奪,だつ,,,音读,夺
奪,うば,う,,训读,夺
棚,たな,,,训读,
誰,だれ,,,训读,谁
丹,たん,,,音读,
旦,たん,,,音读,
旦,だん,,,音读,
担,たん,,擔,音读,
担,かつ,ぐ,擔,训读,
担,にな,う,擔,训读,
単,たん,,單,音读,单
炭,たん,,,音读,
炭,すみ,,,训读,
胆,たん,,膽,音读,
探,たん,,,音读,
探,さぐ,る,,训读,
探,さが,す,,训读,
淡,たん,,,音读,
淡,あわ,い,,训读,
短,たん,,,音读,
短,みじか,い,,训读,
嘆,たん,,嘆,音读,叹
嘆,なげ,く,嘆,训读,叹
嘆,なげ,かわしい,嘆,训读,叹
端,たん,,,音读,
端,はし,,,训读,
端,は,,,训读,
端,はた,,,训读,
綻,たん,,,音读,绽
綻,ほころ,びる,,训读,绽
誕,たん,,,音读,诞
鍛,たん,,,音读,锻
鍛,きた,える,,训读,锻
団,だん,,團,音读,团
団,とん,,團,音读,团
男,だん,,,音读,
男,なん,,,音读,
男,おとこ,,,训读,
段,だん,,,音读,
断,だん,,斷,音读,
断,た,つ,斷,训读,
断,ことわ,る,斷,训读,
弾,だん,,彈,音读,弹
弾,ひ,く,彈,训读,弹
弾,はず,む,彈,训读,弹
弾,たま,,彈,训读,弹
暖,だん,,,音读,
暖,あたたか,,,训读,
暖,あたた,かい,,训读,
暖,あたた,まる,,训读,
暖,あたた,める,,训读,
談,だん,,,音读,谈
壇,だん,,,音读,坛
壇,たん,,,音读,坛
地,ち,,,音读,
地,じ,,,音读,
池,ち,,,音读,
池,いけ,,,训读,
知,ち,,,音读,
知,し,る,,训读,
値,ち,,,音读,值
値,ね,,,训读,值
値,あたい,,,训读,值
恥,ち,,,音读,耻
恥,は,じる,,训读,耻
恥,はじ,,,训读,耻
恥,は,じらう,,训读,耻
恥,は,ずかしい,,训读,耻
致,ち,,,音读,
致,いた,す,,训读,
遅,ち,,遲,音读,迟
遅,おく,れる,遲,训读,迟
遅,おく,らす,遲,训读,迟
遅,おそ,い,遲,训读,迟
痴,ち,,癡,音读,
稚,ち,,,音读,
置,ち,,,音读,
置,お,く,,训读,
緻,ち,,,音读,致
竹,ちく,,,音读,
竹,たけ,,,训读,
畜,ちく,,,音读,
逐,ちく,,,音读,
蓄,ちく,,,音读,
蓄,たくわ,える,,训读,
築,ちく,,,音读,筑
築,きず,く,,训读,筑
秩,ちつ,,,音读,
窒,ちつ,,,音读,
茶,ちゃ,,,音读,
茶,さ,,,音读,
着,ちゃく,,,音读,
着,じゃく,,,音读,
着,き,る,,训读,
着,き,せる,,训读,
着,つ,く,,训读,
着,つ,ける,,训读,
嫡,ちゃく,,,音读,
中,ちゅう,,,音读,
中,じゅう,,,音读,
中,なか,,,训读,
仲,ちゅう,,,音读,
仲,なか,,,训读,
虫,ちゅう,,蟲,音读,
虫,むし,,蟲,训读,
沖,ちゅう,,,音读,冲
沖,おき,,,训读,冲
宙,ちゅう,,,音读,
忠,ちゅう,,,音读,
抽,ちゅう,,,音读,
注,ちゅう,,,音读,
注,そそ,ぐ,,训读,
昼,ちゅう,,晝,音读,
昼,ひる,,晝,训读,
柱,ちゅう,,,音读,
柱,はしら,,,训读,
衷,ちゅう,,,音读,
酎,ちゅう,,,音读,
鋳,ちゅう,,鑄,音读,铸
鋳,い,る,鑄,训读,铸
駐,ちゅう,,,音读,驻
著,ちょ,,著,音读,
著,あらわ,す,著,训读,
著,いちじる,しい,著,训读,
貯,ちょ,,,音读,贮
丁,ちょう,,,音读,
丁,てい,,,音读,
弔,ちょう,,,音读,弗
弔,とむら,う,,训读,弗
庁,ちょう,,廳,音读,厅
兆,ちょう,,,音读,
兆,きざ,す,,训读,
兆,きざ,し,,训读,
町,ちょう,,,音读,
町,まち,,,训读,
長,ちょう,,,音读,长
長,なが,い,,训读,长
挑,ちょう,,,音读,
挑,いど,む,,训读,
帳,ちょう,,,音读,账
張,ちょう,,,音读,张
張,は,る,,训读,张
彫,ちょう,,,音读,雕
彫,ほ,る,,训读,雕
眺,ちょう,,,音读,
眺,なが,める,,训读,
釣,ちょう,,,音读,钓
釣,つ,る,,训读,钓
頂,ちょう,,,音读,顶
頂,いただ,く,,训读,顶
頂,いただき,,,训读,顶
鳥,ちょう,,,音读,鸟
鳥,とり,,,训读,鸟
朝,ちょう,,,音读,
朝,あさ,,,训读,
貼,ちょう,,,音读,贴
貼,は,る,,训读,贴
超,ちょう,,,音读,
超,こ,える,,训读,
超,こ,す,,训读,
腸,ちょう,,,音读,肠
跳,ちょう,,,音读,
跳,は,ねる,,训读,
跳,と,ぶ,,训读,
徴,ちょう,,徵,音读,征
嘲,ちょう,,,音读,
嘲,あざけ,る,,训读,
潮,ちょう,,,音读,
潮,しお,,,训读,
澄,ちょう,,,音读,
澄,す,む,,训读,
澄,す,ます,,训读,
調,ちょう,,,音读,调
調,しら,べる,,训读,调
調,ととの,う,,训读,调
調,ととの,える,,训读,调
聴,ちょう,,聽,音读,听
聴,き,く,聽,训读,听
懲,ちょう,,懲,音读,惩
懲,こ,りる,懲,训读,惩
懲,こ,らす,懲,训读,惩
懲,こ,らしめる,懲,训读,惩
直,ちょく,,,音读,
直,じき,,,音读,
直,ただ,ちに,,训读,
直,なお,す,,训读,
直,なお,る,,训读,
勅,ちょく,,敕,音读,敕
捗,ちょく,,,音读,
沈,ちん,,,音读,
沈,しず,む,,训读,
沈,しず,める,,训读,
珍,ちん,,,音读,
珍,めずら,しい,,训读,
朕,ちん,,,音读,
陳,ちん,,,音读,陈
賃,ちん,,,音读,赁
鎮,ちん,,鎭,音读,镇
鎮,しず,める,鎭,训读,镇
鎮,しず,まる,鎭,训读,镇
追,つい,,,音读,
追,お,う,,训读,
椎,つい,,,音读,
墜,つい,,,音读,坠
通,つう,,,音读,
通,つ,,,音读,
通,とお,る,,训读,
通,とお,す,,训读,
通,かよ,う,,训读,
痛,つう,,,音读,
痛,いた,い,,训读,
痛,いた,む,,训读,
痛,いた,める,,训读,
塚,つか,,塚,训读,冢
漬,つ,ける,,训读,渍
漬,つ,かる,,训读,渍
坪,つぼ,,,训读,
爪,つめ,,,训读,
爪,つま,,,训读,
鶴,つる,,,训读,鹤
低,てい,,,音读,
低,ひく,い,,训读,
低,ひく,める,,训读,
低,ひく,まる,,训读,
呈,てい,,,音读,
廷,てい,,,音读,
弟,てい,,,音读,
弟,だい,,,音读,
弟,で,,,音读,
弟,おとうと,,,训读,
定,てい,,,音读,
定,じょう,,,音读,
定,さだ,める,,训读,
定,さだ,まる,,训读,
定,さだか,,,训读,
底,てい,,,音读,
底,そこ,,,训读,
抵,てい,,,音读,
邸,てい,,,音读,
亭,てい,,,音读,
貞,てい,,,音读,贞
帝,てい,,,音读,
訂,てい,,,音读,订
庭,てい,,,音读,
庭,にわ,,,训读,
逓,てい,,遞,音读,递
停,てい,,,音读,
偵,てい,,,音读,侦
堤,てい,,,音读,
堤,つつみ,,,训读,
提,てい,,,音读,
提,さ,げる,,训读,
程,てい,,,音读,
程,ほど,,,训读,
艇,てい,,,音读,
締,てい,,,音读,缔
締,し,まる,,训读,缔
締,し,める,,训读,缔
諦,てい,,,音读,谛
諦,あきら,める,,训读,谛
泥,でい,,,音读,
泥,どろ,,,训读,
的,てき,,,音读,
的,まと,,,训读,
笛,てき,,,音读,
笛,ふえ,,,训读,
摘,てき,,,音读,
摘,つ,む,,训读,
滴,てき,,,音读,
滴,しずく,,,训读,
滴,したた,る,,训读,
適,てき,,,音读,适
敵,てき,,,音读,敌
敵,かたき,,,训读,敌
溺,でき,,,音读,
溺,おぼ,れる,,训读,
迭,てつ,,,音读,
哲,てつ,,,音读,
鉄,てつ,,鐵,音读,铁
徹,てつ,,,音读,彻
撤,てつ,,,音读,
天,てん,,,音读,
天,あめ,,,训读,
天,あま,,,训读,
典,てん,,,音读,
店,てん,,,音读,
店,みせ,,,训读,
点,てん,,點,音读,
展,てん,,,音读,
添,てん,,,音读,
添,そ,える,,训读,
添,そ,う,,训读,
転,てん,,轉,音读,转
転,ころ,がる,轉,训读,转
転,ころ,げる,轉,训读,转
転,ころ,がす,轉,训读,转
転,ころ,ぶ,轉,训读,转
塡,てん,,,音读,
田,でん,,,音读,
田,た,,,训读,
伝,でん,,傳,音读,传
伝,つた,わる,傳,训读,传
伝,つた,える,傳,训读,传
伝,つた,う,傳,训读,传
殿,でん,,,音读,
殿,てん,,,音读,
殿,との,,,训读,
殿,どの,,,训读,
電,でん,,,音读,电
斗,と,,,音读,
吐,と,,,音读,
吐,は,く,,训读,
妬,と,,,音读,
妬,ねた,む,,训读,
徒,と,,,音读,
途,と,,,音读,
都,と,,都,音读,
都,つ,,都,音读,
都,みやこ,,都,训读,
渡,と,,,音读,
渡,わた,る,,训读,
渡,わた,す,,训读,
塗,と,,,音读,涂
塗,ぬ,る,,训读,涂
賭,と,,,音读,赌
賭,か,ける,,训读,赌
土,ど,,,音读,
土,と,,,音读,
土,つち,,,训读,
奴,ど,,,音读,
努,ど,,,音读,
努,つと,める,,训读,
度,ど,,,音读,
度,と,,,音读,
度,たく,,,音读,
度,たび,,,训读,
怒,ど,,,音读,
怒,いか,る,,训读,
怒,おこ,る,,训读,
刀,とう,,,音读,
刀,かたな,,,训读,
冬,とう,,,音读,
冬,ふゆ,,,训读,
灯,とう,,燈,音读,
灯,ひ,,燈,训读,
当,とう,,當,音读,
当,あ,たる,當,训读,
当,あ,てる,當,训读,
投,とう,,,音读,
投,な,げる,,训读,
豆,とう,,,音读,
豆,ず,,,音读,
豆,まめ,,,训读,
東,とう,,,音读,东
東,ひがし,,,训读,东
到,とう,,,音读,
逃,とう,,,音读,
逃,に,げる,,训读,
逃,に,がす,,训读,
逃,のが,す,,训读,
逃,のが,れる,,训读,
倒,とう,,,音读,
倒,たお,れる,,训读,
倒,たお,す,,训读,
凍,とう,,,音读,冻
凍,こお,る,,训读,冻
凍,こご,える,,训读,冻
唐,とう,,,音读,
唐,から,,,训读,
島,とう,,,音读,岛
島,しま,,,训读,岛
桃,とう,,,音读,
桃,もも,,,训读,
討,とう,,,音读,讨
討,う,つ,,训读,讨
透,とう,,,音读,
透,す,く,,训读,
透,す,かす,,训读,
透,す,ける,,训读,
党,とう,,黨,音读,
悼,とう,,,音读,
悼,いた,む,,训读,
盗,とう,,盜,音读,
盗,ぬす,む,盜,训读,
陶,とう,,,音读,
塔,とう,,,音读,
搭,とう,,,音读,
棟,とう,,,音读,栋
棟,むね,,,训读,栋
棟,むな,,,训读,栋
湯,とう,,,音读,汤
湯,ゆ,,,训读,汤
痘,とう,,,音读,
登,とう,,,音读,
登,と,,,音读,
登,のぼ,る,,训读,
答,とう,,,音读,
答,こた,える,,训读,
答,こた,え,,训读,
等,とう,,,音读,
等,ひと,しい,,训读,
筒,とう,,,音读,
筒,つつ,,,训读,
統,とう,,,音读,统
統,す,べる,,训读,统
稲,とう,,稻,音读,稻
稲,いね,,稻,训读,稻
稲,いな,,稻,训读,稻
踏,とう,,,音读,
踏,ふ,む,,训读,
踏,ふ,まえる,,训读,
糖,とう,,,音读,
頭,とう,,,音读,头
頭,ず,,,音读,头
頭,と,,,音读,头
頭,あたま,,,训读,头
頭,かしら,,,训读,头
謄,とう,,,音读,誊
藤,とう,,,音读,
藤,ふじ,,,训读,
闘,とう,,鬭,音读,战
闘,たたか,う,鬭,训读,战
騰,とう,,,音读,腾
同,どう,,,音读,
同,おな,じ,,训读,
洞,どう,,,音读,
洞,ほら,,,训读,
胴,どう,,,音读,
動,どう,,,音读,动
動,うご,く,,训读,动
動,うご,かす,,训读,动
堂,どう,,,音读,
童,どう,,,音读,
童,わらべ,,,训读,
道,どう,,,音读,
道,とう,,,音读,
道,みち,,,训读,
働,どう,,,音读,动
働,はたら,く,,训读,动
銅,どう,,,音读,铜
導,どう,,,音读,导
導,みちび,く,,训读,导
瞳,どう,,,音读,
瞳,ひとみ,,,训读,
峠,とうげ,,,训读,
匿,とく,,,音读,
特,とく,,,音读,
得,とく,,,音读,
得,え,る,,训读,
得,うる,,,训读,
督,とく,,,音读,
徳,とく,,德,音读,德
篤,とく,,,音读,笃
毒,どく,,,音读,
独,どく,,獨,音读,
独,ひと,り,獨,训读,
読,どく,,讀,音读,读
読,とく,,讀,音读,读
読,とう,,讀,音读,读
読,よ,む,讀,训读,读
栃,とち,,,训读,
凸,とつ,,,音读,
突,とつ,,突,音读,
突,つ,く,突,训读,
届,とど,ける,屆,训读,
届,とど,く,屆,训读,
屯,とん,,,音读,
豚,とん,,,音读,
豚,ぶた,,,训读,
頓,とん,,,音读,顿
貪,どん,,,音读,贪
貪,むさぼ,る,,训读,贪
鈍,どん,,,音读,钝
鈍,にぶ,い,,训读,钝
鈍,にぶ,る,,训读,钝
曇,どん,,,音读,昙
曇,くも,る,,训读,昙
丼,どんぶり,,,训读,
丼,どん,,,训读,
那,な,,,音读,
奈,な,,,音读,
内,ない,,,音读,
内,だい,,,音读,
内,うち,,,训读,
梨,なし,,,训读,
