字,假名,送假名,旧字体,音训读,简体字
裂,さ,く,,训读,
裂,さ,ける,,训读,
恋,れん,,戀,音读,
恋,こう,,戀,训读,
恋,こい,,戀,训读,
恋,こい,しい,戀,训读,
連,れん,,,音读,连
連,つら,なる,,训读,连
連,つら,ねる,,训读,连
連,つ,れる,,训读,连
廉,れん,,,音读,
練,れん,,練,音读,练
練,ね,る,練,训读,练
錬,れん,,鍊,音读,炼
呂,ろ,,,音读,
炉,ろ,,爐,音读,
賂,ろ,,,音读,赂
路,ろ,,,音读,
路,じ,,,训读,
露,ろ,,,音读,
露,ろう,,,音读,
露,つゆ,,,训读,
老,ろう,,,音读,
老,お,いる,,训读,
老,ふ,ける,,训读,
労,ろう,,勞,音读,劳
弄,ろう,,,音读,
弄,もてあそ,ぶ,,训读,
郎,ろう,,郞,音读,
朗,ろう,,朗,音读,
朗,ほがらか,,朗,训读,
浪,ろう,,,音读,
廊,ろう,,廊,音读,
楼,ろう,,樓,音读,
漏,ろう,,,音读,
漏,も,る,,训读,
漏,も,れる,,训读,
漏,も,らす,,训读,
籠,ろう,,,音读,笼
籠,かご,,,训读,笼
籠,こ,もる,,训读,笼
六,ろく,,,音读,
六,む,,,训读,
六,む,つ,,训读,
六,むっ,つ,,训读,
六,むい,,,训读,
録,ろく,,錄,音读,录
麓,ろく,,,音读,
麓,ふもと,,,训读,
論,ろん,,,音读,论
和,わ,,,音读,
和,お,,,音读,
和,やわ,らぐ,,训读,
和,やわ,らげる,,训读,
和,なご,む,,训读,
和,なごやか,,,训读,
話,わ,,,音读,话
話,はな,す,,训读,话
話,はなし,,,训读,话
賄,わい,,,音读,贿
賄,まかな,う,,训读,贿
脇,わき,,,训读,
惑,わく,,,音读,
惑,まど,う,,训读,
枠,わく,,,训读,
湾,わん,,灣,音读,
腕,わん,,,音读,
腕,うで,,,训读,
